iter=48 terr=0.13949 serr=0.84040 act=1141248 obj=346701.26551 diff=0.00931
iter=49 terr=0.13743 serr=0.84019 act=1141248 obj=342738.72072 diff=0.01143
iter=50 terr=0.13420 serr=0.83914 act=1141248 obj=336635.74297 diff=0.01781
iter=51 terr=0.13233 serr=0.83961 act=1141248 obj=335169.64356 diff=0.00436
iter=52 terr=0.13124 serr=0.83872 act=1141248 obj=330446.41098 diff=0.01409
iter=53 terr=0.13093 serr=0.83820 act=1141248 obj=328818.27550 diff=0.00493
iter=54 terr=0.12970 serr=0.83557 act=1141248 obj=325928.42731 diff=0.00879
iter=55 terr=0.12969 serr=0.83101 act=1141248 obj=322929.61577 diff=0.00920
iter=56 terr=0.12662 serr=0.82634 act=1141248 obj=317109.66767 diff=0.01802
iter=57 terr=0.12574 serr=0.82539 act=1141248 obj=315472.25711 diff=0.00516
iter=58 terr=0.12451 serr=0.82366 act=1141248 obj=312973.96242 diff=0.00792
iter=59 terr=0.12262 serr=0.82177 act=1141248 obj=309876.04526 diff=0.00990
iter=60 terr=0.12093 serr=0.82030 act=1141248 obj=306075.38770 diff=0.01227
iter=61 terr=0.11869 serr=0.81810 act=1141248 obj=300666.52770 diff=0.01767
iter=62 terr=0.11759 serr=0.81579 act=1141248 obj=297867.36758 diff=0.00931
iter=63 terr=0.11731 serr=0.81689 act=1141248 obj=296997.91604 diff=0.00292
iter=64 terr=0.11572 serr=0.81437 act=1141248 obj=291975.90399 diff=0.01691
iter=65 terr=0.11515 serr=0.81222 act=1141248 obj=290829.56150 diff=0.00393
iter=66 terr=0.11432 serr=0.81143 act=1141248 obj=289012.23377 diff=0.00625
iter=67 terr=0.11391 serr=0.81017 act=1141248 obj=287788.59195 diff=0.00423
iter=68 terr=0.11308 serr=0.80854 act=1141248 obj=286071.83845 diff=0.00597
iter=69 terr=0.11214 serr=0.80933 act=1141248 obj=283954.93200 diff=0.00740
iter=70 terr=0.11143 serr=0.80828 act=1141248 obj=282363.88489 diff=0.00560
iter=71 terr=0.10954 serr=0.80660 act=1141248 obj=279176.19944 diff=0.01129
iter=72 terr=0.10769 serr=0.80408 act=1141248 obj=275949.85043 diff=0.01156
iter=73 terr=0.10684 serr=0.80151 act=1141248 obj=273270.16776 diff=0.00971
iter=74 terr=0.10555 serr=0.79668 act=1141248 obj=269739.39147 diff=0.01292
iter=75 terr=0.10478 serr=0.79443 act=1141248 obj=266425.00793 diff=0.01229
iter=76 terr=0.10310 serr=0.79164 act=1141248 obj=261322.19082 diff=0.01915
iter=77 terr=0.10354 serr=0.79164 act=1141248 obj=258290.32610 diff=0.01160
iter=78 terr=0.10284 serr=0.78865 act=1141248 obj=256050.39301 diff=0.00867
iter=79 terr=0.10122 serr=0.78445 act=1141248 obj=254672.68247 diff=0.00538
iter=80 terr=0.10095 serr=0.78393 act=1141248 obj=254062.74322 diff=0.00239
iter=81 terr=0.09985 serr=0.78251 act=1141248 obj=251442.16817 diff=0.01031
iter=82 terr=0.09866 serr=0.78131 act=1141248 obj=248523.22208 diff=0.01161
iter=83 terr=0.09719 serr=0.77831 act=1141248 obj=244957.89344 diff=0.01435
iter=84 terr=0.09604 serr=0.77679 act=1141248 obj=243529.43298 diff=0.00583
iter=85 terr=0.09439 serr=0.77207 act=1141248 obj=239022.37786 diff=0.01851
iter=86 terr=0.09330 serr=0.77007 act=1141248 obj=237443.80353 diff=0.00660
